frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,triangle_area,eye_distance,sunglasses_detected,eye_roi_width,eye_roi_height,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
48,0.20434210799523161,0.18283165969649132,1.0,1.0,-17.5,56.33056246021274,0.6798709796302428,2,-35,2810.5,109.04127658827184,False,80,48,0.42176663875579834,0.504317045211792,0.015360035002231598,0.5907266139984131,0.4999881982803345,0.017307860776782036,0.5108136534690857,0.608961820602417,-0.059539832174777985,0.5071721076965332,0.4917069673538208,-0.023749709129333496,324,257
49,0.20519974966158047,0.1853599505776564,1.0,1.5,-17.0,56.11083310818306,0.6593846257551664,3,-34,2704.0,108.01851693112621,False,80,48,0.4217038154602051,0.5044962167739868,0.015736401081085205,0.5905671119689941,0.5001651048660278,0.017552083358168602,0.5109627842903137,0.6079666018486023,-0.05947854742407799,0.5071404576301575,0.4911801815032959,-0.02338756062090397,324,257
50,0.20845892620516737,0.1910595252076595,1.0,1.0,-17.0,55.702587143854934,0.6656883215111606,2,-34,2727.5,109.01834707974616,False,80,48,0.4217595160007477,0.504421591758728,0.016169186681509018,0.5908278822898865,0.5003885626792908,0.017834333702921867,0.5104575753211975,0.6075043678283691,-0.059208594262599945,0.5070668458938599,0.4915454089641571,-0.02280694991350174,324,257
51,0.2021726289942092,0.1864074395639477,1.0,1.5,-17.0,55.907486267563584,0.6659441253126627,3,-34,2678.5,107.01868995647442,False,80,48,0.4219571053981781,0.5043142437934875,0.01601707749068737,0.5906141996383667,0.5004185438156128,0.018051620572805405,0.511108934879303,0.6080832481384277,-0.059280313551425934,0.5072085857391357,0.49172547459602356,-0.02278444916009903,324,257
52,0.20175669836386298,0.18395057534892198,1.0,1.0,-17.0,55.755209251861274,0.672454002759837,2,-34,2677.5,107.01868995647442,False,80,48,0.4221101403236389,0.5045727491378784,0.016170084476470947,0.5905014872550964,0.5009264945983887,0.01792609691619873,0.5107539892196655,0.6077052354812622,-0.0593615360558033,0.5069102048873901,0.4916616678237915,-0.022816862910985947,324,257
53,0.2022355145577164,0.1864148106805903,1.0,1.0,-17.0,55.871205884722634,0.6723259409821313,2,-34,2702.0,108.01851693112621,False,80,48,0.4219926595687866,0.5046659111976624,0.01612250693142414,0.5907219052314758,0.5006458163261414,0.017722614109516144,0.5106658935546875,0.6076581478118896,-0.05968683212995529,0.5071204304695129,0.491355836391449,-0.02309616655111313,324,257
54,0.20267642950795473,0.18564853314691065,1.0,1.0,-17.0,55.882722177237895,0.6723259409821313,2,-34,2702.0,108.01851693112621,False,80,48,0.4222027659416199,0.5043389201164246,0.01583930291235447,0.5908417701721191,0.5003931522369385,0.01748952455818653,0.510757565498352,0.6081083416938782,-0.05927186831831932,0.5072221755981445,0.49178147315979004,-0.023225532844662666,324,257
55,0.20455143377564522,0.1857766543248085,1.0,1.0,-17.0,56.13247400212117,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4221575856208801,0.5041981935501099,0.015778513625264168,0.5910020470619202,0.500367283821106,0.01806049235165119,0.5115090012550354,0.607930600643158,-0.059481970965862274,0.5075969099998474,0.4911043345928192,-0.023064330220222473,325,257
56,0.1999275037163134,0.18803953745796062,1.0,1.0,-17.0,55.71638351112202,0.666369986204055,2,-34,2728.5,108.00462953040486,False,80,48,0.42233675718307495,0.5039781332015991,0.015868790447711945,0.5908218622207642,0.5005855560302734,0.018512314185500145,0.5118908882141113,0.60728919506073,-0.059583451598882675,0.5079842805862427,0.4913303256034851,-0.022878622636198997,325,257
57,0.19684335213547313,0.18265594877714467,1.0,1.0,-17.0,55.92223176047579,0.666369986204055,2,-34,2728.5,108.00462953040486,False,80,48,0.42233365774154663,0.5039353370666504,0.015982145443558693,0.591182291507721,0.5004270076751709,0.01785241812467575,0.511080265045166,0.6073848009109497,-0.0596444196999073,0.507414698600769,0.49098271131515503,-0.02305842749774456,325,257
58,0.20583943935315788,0.18617851876071956,1.0,1.0,-17.0,55.92790201316345,0.6723259409821313,2,-34,2702.0,108.01851693112621,False,80,48,0.4220260977745056,0.5045113563537598,0.01600838638842106,0.5913099646568298,0.5007469654083252,0.018166713416576385,0.5108277797698975,0.6078599095344543,-0.05958281829953194,0.5076735019683838,0.49141937494277954,-0.022835079580545425,324,257
