frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
21,0.04199747445598115,0.20957038491736318,0.8470000000000001,-2.0,-15.0,56.439034387968704,0.6659248129887437,-4,-30,0.0,0.0,2619.0,121.19818480488888,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40321093797683716,0.4864414632320404,0.034188903868198395,0.5908123850822449,0.45165619254112244,0.01636839471757412,0.48787054419517517,0.5609502792358398,-0.06371483206748962,0.48966890573501587,0.44339340925216675,-0.015391661785542965,316,239
22,0.05185067326300228,0.21158700179003884,0.8470000000000001,-2.0,-14.5,57.17032246171723,0.6481724083998119,-4,-29,0.0,0.0,2602.5,123.17873193047572,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4024851322174072,0.4870942533016205,0.03351689130067825,0.5924515128135681,0.450569748878479,0.015695611014962196,0.4883064925670624,0.5596890449523926,-0.0630539059638977,0.49000346660614014,0.44060570001602173,-0.015432449989020824,316,239
23,0.052326471167201474,0.19735513066116955,0.8470000000000001,-1.5,-14.5,56.72867929689138,0.6490320961506103,-3,-29,0.0,0.0,2585.0,122.18837915284743,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.404466450214386,0.4867725670337677,0.03327576071023941,0.5926184058189392,0.450186163187027,0.016289275139570236,0.489303320646286,0.5596883296966553,-0.06351644545793533,0.49117913842201233,0.4415300488471985,-0.015816736966371536,316,239
24,0.0499826030239555,0.19913087104567082,0.8470000000000001,-2.0,-15.0,57.16248212189859,0.6757709221127892,-4,-30,0.0,0.0,2644.0,121.06196760337245,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40503883361816406,0.48514360189437866,0.033053502440452576,0.5930438041687012,0.45151570439338684,0.01641744002699852,0.4884816110134125,0.5608751177787781,-0.06317554414272308,0.49068590998649597,0.44182288646698,-0.015658268705010414,316,239
25,0.0541679480929265,0.19396677575078924,0.8470000000000001,-2.5,-15.5,57.469048995855424,0.6775077240632587,-5,-31,0.0,0.0,2715.5,122.9186723000212,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4059162139892578,0.48271745443344116,0.03337893635034561,0.595944881439209,0.4516233503818512,0.015889734029769897,0.4883742332458496,0.5605462789535522,-0.06390764564275742,0.4918580651283264,0.4409092366695404,-0.016221515834331512,317,238
26,0.05002155490106958,0.20368634666928448,0.8470000000000001,-2.0,-15.0,57.39515102810502,0.6589870995683559,-4,-30,0.0,0.0,2610.0,122.05326705991938,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4044811427593231,0.485444575548172,0.03395145386457443,0.5935839414596558,0.4528770446777344,0.016002586111426353,0.48849809169769287,0.5606842041015625,-0.06431829184293747,0.49133631587028503,0.441170871257782,-0.016149744391441345,316,239
27,0.05938288908807776,0.2050254619362824,0.8470000000000001,-1.5,-15.0,56.95468817635543,0.6516746760062074,-3,-30,0.0,0.0,2672.0,123.17873193047572,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4046136140823364,0.4860115051269531,0.032548937946558,0.5943509340286255,0.45181092619895935,0.016950039193034172,0.491011381149292,0.5606135725975037,-0.064116932451725,0.4930170178413391,0.44198811054229736,-0.016375286504626274,317,239
28,0.051810154872859185,0.206233771186144,0.8470000000000001,-2.0,-15.0,57.22548539207448,0.6684943729745172,-4,-30,0.0,0.0,2670.5,122.05326705991938,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4056779444217682,0.4837718605995178,0.03281024843454361,0.5950448513031006,0.4502331614494324,0.01645272597670555,0.49049249291419983,0.560955822467804,-0.06319714337587357,0.49271267652511597,0.44177281856536865,-0.01570793054997921,317,239
29,0.04456268565692585,0.19503540007660022,0.8470000000000001,-1.5,-15.0,57.52795783106436,0.6621283926288233,-3,-30,0.0,0.0,2678.5,122.05326705991938,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4054027199745178,0.4868200123310089,0.032028909772634506,0.5943261384963989,0.4535013437271118,0.016233069822192192,0.4910721778869629,0.5633506178855896,-0.06379708647727966,0.4926990568637848,0.44352033734321594,-0.016844172030687332,317,240
30,0.04314080657596023,0.1989847350925453,0.8470000000000001,-1.5,-15.0,57.56807887807176,0.6516746760062074,-3,-30,0.0,0.0,2672.0,123.17873193047572,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40421634912490845,0.48645246028900146,0.0322108119726181,0.5939440727233887,0.45010021328926086,0.017278801649808884,0.4921245276927948,0.5619628429412842,-0.06423616409301758,0.49267876148223877,0.4420316219329834,-0.016441451385617256,317,239
